New Line No. ,New line no.,Current System Organ Class (SOC) Term,Current SOC Key,Current High Level Term (HLT),Current HLT Key,Current Preferred Term (PT),Current PT Key,Current Low Level Term (LLT),Current LLT Key,Current Term Type
648,400313,Digestive tract disorders,5,Other digestive tract disorders,35,Gastroenteritis,194,Gastroenteritis,313,C
649,504351,Digestive tract disorders,5,Other digestive tract disorders,35,Gastroenteritis,194,Gastrointestinal irritation,3070,C
650,401081,Digestive tract disorders,5,Other digestive tract disorders,35,Haematochezia,1163,Blood in faeces,1081,C
651,504352,Digestive tract disorders,5,Other digestive tract disorders,35,Haematochezia,1163,Bloody stool,3071,C
652,401982,Digestive tract disorders,5,Other digestive tract disorders,35,Haematochezia,1163,Haematochezia,1982,C
653,400315,Digestive tract disorders,5,Other digestive tract disorders,35,Haemorrhagic diarrhoea,195,Bloody diarrhoea,315,C
654,400314,Digestive tract disorders,5,Other digestive tract disorders,35,Haemorrhagic diarrhoea,195,Haemorrhagic diarrhoea,314,C
655,401083,Digestive tract disorders,5,Other digestive tract disorders,35,Haemorrhagic diarrhoea,195,Intestinal haemorrhage,1083,C
656,400316,Digestive tract disorders,5,Other digestive tract disorders,35,Haemorrhagic gastroenteritis,196,Haemorrhagic gastroenteritis,316,C
657,400317,Digestive tract disorders,5,Other digestive tract disorders,35,Melaena,197,Melaena,317,C
658,400318,Digestive tract disorders,5,Other digestive tract disorders,35,Melaena,197,Tarry or black stool (see also haemorrhagic diarrhoea),318,C
660,401638,Digestive tract disorders,5,Other digestive tract disorders,35,Nausea,810,Nausea,1638,C
661,401983,Digestive tract disorders,5,Other digestive tract disorders,35,Painful defecation,911,Painful defecation,1983,C
662,401888,Digestive tract disorders,5,Other digestive tract disorders,35,Regurgitation,1162,Regurgitation,1888,C
663,402437,Digestive tract disorders,5,Other digestive tract disorders,35,Suckling disorder NOS,986,Suckling disorder NOS,2437,A
664,401940,Digestive tract disorders,5,Pancreas disorders,37,Pancreas disorder,208,Exocrine pancreatic insufficiency,1940,C
665,400330,Digestive tract disorders,5,Pancreas disorders,37,Pancreas disorder,208,Pancreas disorder,330,C
666,400331,Digestive tract disorders,5,Pancreas disorders,37,Pancreatitis,880,Acute haemorrhagic pancreatitis,331,C
667,504353,Digestive tract disorders,5,Pancreas disorders,37,Pancreatitis,880,Acute pancreatitis,3072,C
668,401892,Digestive tract disorders,5,Pancreas disorders,37,Pancreatitis,880,Chronic pancreatitis,1892,C
669,401893,Digestive tract disorders,5,Pancreas disorders,37,Pancreatitis,880,Necrotizing pancreatitis,1893,C
670,401891,Digestive tract disorders,5,Pancreas disorders,37,Pancreatitis,880,Pancreatitis NOS,1891,C
671,402143,Digestive tract disorders,5,Ruminant stomach disorders,36,Abomasal perforation,956,Abomasal perforation,2143,A
672,401084,Digestive tract disorders,5,Ruminant stomach disorders,36,Abomasitis,198,Abomasal ulcer,1084,A
673,400319,Digestive tract disorders,5,Ruminant stomach disorders,36,Abomasitis,198,Abomasitis,319,A
674,400321,Digestive tract disorders,5,Ruminant stomach disorders,36,Reticulitis,200,Reticulitis,321,A
675,400320,Digestive tract disorders,5,Ruminant stomach disorders,36,Ruminal bloat,1164,Ruminal bloat,320,A
676,402848,Digestive tract disorders,5,Ruminant stomach disorders,36,Ruminal bloat,1164,Ruminal tympany,2848,A
677,402619,Digestive tract disorders,5,Ruminant stomach disorders,36,Ruminant stomach disorder,202,Decreased ruminal activity,2619,A
678,400323,Digestive tract disorders,5,Ruminant stomach disorders,36,Ruminant stomach disorder,202,Displaced abomasum,323,A
679,402169,Digestive tract disorders,5,Ruminant stomach disorders,36,Ruminant stomach disorder,202,Rumen acidosis,2169,A
680,401065,Digestive tract disorders,5,Ruminant stomach disorders,36,Ruminant stomach disorder,202,Rumen atony,1065,A
681,400322,Digestive tract disorders,5,Ruminant stomach disorders,36,Ruminant stomach disorder,202,Rumenitis,322,A
682,400309,Digestive tract disorders,5,Ruminant stomach disorders,36,Ruminant stomach disorder,202,Ruminal stasis,309,A
683,401230,Digestive tract disorders,5,Ruminant stomach disorders,36,Ruminant stomach disorder,202,Ruminant stomach disorder,1230,A
684,401434,Digestive tract disorders,5,Stomach disorders,38,Dyspepsia,755,Dyspepsia,1434,C
685,401536,Digestive tract disorders,5,Stomach disorders,38,Dyspepsia,755,Indigestion,1536,C
686,401800,Digestive tract disorders,5,Stomach disorders,38,Dyspepsia,755,Stomach upset,1800,C
687,400335,Digestive tract disorders,5,Stomach disorders,38,Emesis,211,Emesis,335,C
688,402082,Digestive tract disorders,5,Stomach disorders,38,Emesis,211,Emesis (multiple),2082,C
689,400334,Digestive tract disorders,5,Stomach disorders,38,Emesis,211,Vomiting,334,C
690,402758,Digestive tract disorders,5,Stomach disorders,38,Emesis,211,Vomiting bile,2758,C
691,504354,Digestive tract disorders,5,Stomach disorders,38,Emesis,211,Vomiting foam,3073,C
692,400337,Digestive tract disorders,5,Stomach disorders,38,Eructation,212,Belching,337,C
693,400336,Digestive tract disorders,5,Stomach disorders,38,Eructation,212,Eructation,336,C
694,401090,Digestive tract disorders,5,Stomach disorders,38,Gastric dilation,636,Gastric bloat,1090,C
695,401091,Digestive tract disorders,5,Stomach disorders,38,Gastric dilation,636,Gastric dilation,1091,C
696,401092,Digestive tract disorders,5,Stomach disorders,38,Gastric dilation,636,Gastric distension,1092,C
697,401941,Digestive tract disorders,5,Stomach disorders,38,Gastric perforation,939,Gastric perforation,1941,C
698,400338,Digestive tract disorders,5,Stomach disorders,38,Gastric torsion,213,Gastric torsion,338,C
699,400339,Digestive tract disorders,5,Stomach disorders,38,Gastric torsion,213,Gastric volvulus,339,C
700,400340,Digestive tract disorders,5,Stomach disorders,38,Gastric ulcer,214,Gastric ulcer,340,C
701,401489,Digestive tract disorders,5,Stomach disorders,38,Gastric ulcer,214,Gastric ulceration NOS,1489,C
702,401717,Digestive tract disorders,5,Stomach disorders,38,Gastric ulcer,214,Pyloric ulcer,1717,C
703,401488,Digestive tract disorders,5,Stomach disorders,38,Gastritis,215,Gastric irritation,1488,C
704,400341,Digestive tract disorders,5,Stomach disorders,38,Gastritis,215,Gastritis,341,C
705,401798,Digestive tract disorders,5,Stomach disorders,38,Gastritis,215,Stomach inflammation,1798,C
706,400343,Digestive tract disorders,5,Stomach disorders,38,Haematemesis,216,Blood in vomit,343,C
707,400342,Digestive tract disorders,5,Stomach disorders,38,Haematemesis,216,Haematemesis,342,C
708,401093,Digestive tract disorders,5,Stomach disorders,38,Haematemesis,216,Haemorrhagic gastritis,1093,C
709,401894,Digestive tract disorders,5,Stomach disorders,38,Impaired gastric function,881,Impaired gastric function,1894,C
710,504355,Digestive tract disorders,5,Stomach disorders,38,Retching,217,Dry heaving,3074,C
711,400344,Digestive tract disorders,5,Stomach disorders,38,Retching,217,Gagging,344,C
712,400345,Digestive tract disorders,5,Stomach disorders,38,Retching,217,Retching,345,C
713,400346,Ear and labyrinth disorders,6,Congenital ear disorders,39,Congenital ear disorder NOS,218,Congenital ear disorder NOS,346,C
714,400350,Ear and labyrinth disorders,6,External ear disorders,41,Aural haematoma,221,Aural haematoma,350,C
715,400352,Ear and labyrinth disorders,6,External ear disorders,41,Aural haematoma,221,Ear flap haemorrhage,352,C
716,400351,Ear and labyrinth disorders,6,External ear disorders,41,Aural haematoma,221,Otic haematoma,351,C
717,402567,Ear and labyrinth disorders,6,External ear disorders,41,Ear canal disorder,1007,Ear canal disorder,2567,C
718,402566,Ear and labyrinth disorders,6,External ear disorders,41,Ear canal disorder,1007,Ear canal erythema,2566,C
719,402568,Ear and labyrinth disorders,6,External ear disorders,41,Ear canal disorder,1007,Ear canal inflammation,2568,C
720,402569,Ear and labyrinth disorders,6,External ear disorders,41,Ear canal disorder,1007,Ear canal oedema,2569,C
721,402759,Ear and labyrinth disorders,6,External ear disorders,41,Ear canal disorder,1007,Excessive ear wax,2759,C
722,402570,Ear and labyrinth disorders,6,External ear disorders,41,Ear canal disorder,1007,Stenotic ear canal,2570,C
723,402571,Ear and labyrinth disorders,6,External ear disorders,41,Ear canal disorder,1007,Swollen ear canal,2571,C
724,400355,Ear and labyrinth disorders,6,External ear disorders,41,External ear disorder NOS,223,Droopy ear,355,C
725,401986,Ear and labyrinth disorders,6,External ear disorders,41,External ear disorder NOS,223,Ear flapping/twitching,1986,C
726,401094,Ear and labyrinth disorders,6,External ear disorders,41,External ear disorder NOS,223,Earflap ptosis,1094,C
727,400354,Ear and labyrinth disorders,6,External ear disorders,41,External ear disorder NOS,223,External ear disorder NOS,354,C
728,401985,Ear and labyrinth disorders,6,External ear disorders,41,External ear disorder NOS,223,Pinnae disorder,1985,C
729,400356,Ear and labyrinth disorders,6,External ear disorders,41,Otitis externa,224,Otitis externa,356,C
730,402456,Ear and labyrinth disorders,6,External ear disorders,41,Otitis externa,224,Thickened ear canal(s),2456,A
731,400358,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal cyanosis,225,Blue ear(s),358,C
732,400357,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal cyanosis,225,Pinnal cyanosis,357,C
733,400359,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal haemorrhage,226,Pinnal haemorrhage,359,C
734,401436,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal irritation,227,Ear irritation,1436,C
735,401095,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal irritation,227,Pinnal erythema,1095,C
736,400361,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal irritation,227,Pinnal irritation,361,C
737,400360,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal irritation,227,Pinnal reddening,360,C
738,400362,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal necrosis,228,Pinnal necrosis,362,C
739,400364,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal oedema,229,Ear flap oedema,364,C
740,400363,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal oedema,229,Pinnal oedema,363,C
741,402620,Ear and labyrinth disorders,6,External ear disorders,41,Pinnal ulcer,1165,Pinnal ulcer,2620,C
742,400365,Ear and labyrinth disorders,6,Impaired hearing,42,Deafness,230,Deafness,365,C
743,400368,Ear and labyrinth disorders,6,Impaired hearing,42,Deafness,230,Deafness NOS,368,C
744,401591,Ear and labyrinth disorders,6,Impaired hearing,42,Deafness,230,Loss of hearing,1591,C
745,402455,Ear and labyrinth disorders,6,Impaired hearing,42,Deafness,230,Temporary deafness,2455,C
746,400366,Ear and labyrinth disorders,6,Impaired hearing,42,Impaired hearing,774,Hearing affected,366,C
747,401512,Ear and labyrinth disorders,6,Impaired hearing,42,Impaired hearing,774,Hearing decreased,1512,C
748,401513,Ear and labyrinth disorders,6,Impaired hearing,42,Impaired hearing,774,Impaired hearing,1513,C
749,400367,Ear and labyrinth disorders,6,Impaired hearing,42,Impaired hearing,774,Partial deafness,367,C
750,400374,Ear and labyrinth disorders,6,Internal ear disorders,43,Internal ear disorder,231,Head tilt - ear disorder,374,C
751,402458,Ear and labyrinth disorders,6,Internal ear disorders,43,Internal ear disorder,231,Idiopathic vestibular disease,2458,A
752,400369,Ear and labyrinth disorders,6,Internal ear disorders,43,Internal ear disorder,231,Internal ear disorder,369,C
754,402457,Ear and labyrinth disorders,6,Internal ear disorders,43,Internal ear disorder,231,Peripheral vestibular disorder,2457,C
755,400370,Ear and labyrinth disorders,6,Internal ear disorders,43,Internal ear disorder,231,Tumbling circling disease (see also Ataxia at Neurological),370,C
756,400373,Ear and labyrinth disorders,6,Internal ear disorders,43,Internal ear disorder,231,Vestibular disorder NOS,373,C
757,400332,Ear and labyrinth disorders,6,Internal ear disorders,43,Labyrinthitis,790,Labyrinthitis,332,C
758,400376,Ear and labyrinth disorders,6,Internal ear disorders,43,Otitis interna,232,Otitis interna,376,C
761,400377,Ear and labyrinth disorders,6,Middle ear disorders,44,Otitis media,233,Otitis media,377,C
762,401669,Ear and labyrinth disorders,6,Middle ear disorders,44,Otitis media,233,Otitis media serous/glue ear,1669,C
763,402621,Ear and labyrinth disorders,6,Middle ear disorders,44,Tympanic alteration,1019,Tympanic alteration,2621,C
764,402622,Ear and labyrinth disorders,6,Middle ear disorders,44,Tympanic alteration,1019,Tympanic discoloration,2622,C
765,402623,Ear and labyrinth disorders,6,Middle ear disorders,44,Tympanic alteration,1019,Tympanic opacity,2623,C
766,402387,Ear and labyrinth disorders,6,Middle ear disorders,44,Tympanic rupture,983,Eardrum rupture,2387,C
767,402386,Ear and labyrinth disorders,6,Middle ear disorders,44,Tympanic rupture,983,Tympanic rupture,2386,C
768,401435,Ear and labyrinth disorders,6,Other ear disorders,40,Ear infection NOS,757,Ear infection NOS,1435,C
769,400347,Ear and labyrinth disorders,6,Other ear disorders,40,Ear pain,219,Ear pain,347,C
770,401437,Ear and labyrinth disorders,6,Other ear disorders,40,Ear pain,219,Earache,1437,C
771,402573,Ear and labyrinth disorders,6,Other ear disorders,40,Ear pruritus,1008,Ear pruritus,2573,C
772,402572,Ear and labyrinth disorders,6,Other ear disorders,40,Ear pruritus,1008,Itchy ears,2572,C
773,400375,Ear and labyrinth disorders,6,Other ear disorders,40,Other ear disorder NOS,822,Head shake - ear disorder,375,C
774,401667,Ear and labyrinth disorders,6,Other ear disorders,40,Other ear disorder NOS,822,Other ear disorder NOS,1667,C
775,401984,Ear and labyrinth disorders,6,Other ear disorders,40,Otitis NOS,912,Otitis NOS,1984,C
776,400349,Ear and labyrinth disorders,6,Other ear disorders,40,Otorrhoea,220,Ear discharge,349,C
777,400348,Ear and labyrinth disorders,6,Other ear disorders,40,Otorrhoea,220,Otorrhoea,348,C
778,400378,Endocrine system disorders,7,Adrenal gland disorders,45,Adrenal gland disorder NOS,234,Adrenal gland disorder NOS,378,C
779,504358,Endocrine system disorders,7,Adrenal gland disorders,45,Adrenal necrosis,3076,Adrenal necrosis,3077,C
780,400382,Endocrine system disorders,7,Adrenal gland disorders,45,Hyperadrenocorticism,236,Cushings disease - adrenal dependent,382,C
781,400381,Endocrine system disorders,7,Adrenal gland disorders,45,Hyperadrenocorticism,236,Cushings disease - pituitary dependent,381,C
782,400380,Endocrine system disorders,7,Adrenal gland disorders,45,Hyperadrenocorticism,236,Cushings disease NOS,380,C
783,400379,Endocrine system disorders,7,Adrenal gland disorders,45,Hyperadrenocorticism,236,Hyperadrenocorticism,379,C
784,504356,Endocrine system disorders,7,Adrenal gland disorders,45,Hypoadrenocorticism,237,Addisonian crisis,3075,C
785,400384,Endocrine system disorders,7,Adrenal gland disorders,45,Hypoadrenocorticism,237,Addison's disease,384,C
786,400383,Endocrine system disorders,7,Adrenal gland disorders,45,Hypoadrenocorticism,237,Hypoadrenocorticism,383,C
787,400385,Endocrine system disorders,7,Congenital endocrine disorders,46,Congenital endocrine disorder,238,Congenital endocrine disorder,385,C
788,402014,Endocrine system disorders,7,Endocrine system disorders,232,Endocrine system disorder NOS,922,Endocrine system disorder NOS,2014,C
789,400393,Endocrine system disorders,7,Pancreas endocrine disorders,48,Diabetes mellitus,240,Complication of diabetes,393,C
790,400387,Endocrine system disorders,7,Pancreas endocrine disorders,48,Diabetes mellitus,240,Diabetes,387,C
791,400389,Endocrine system disorders,7,Pancreas endocrine disorders,48,Diabetes mellitus,240,Diabetes mellitus,389,C
792,400391,Endocrine system disorders,7,Pancreas endocrine disorders,48,Diabetes mellitus,240,Diabetic coma,391,C
793,402053,Endocrine system disorders,7,Pancreas endocrine disorders,48,Diabetes mellitus,240,Diabetic ketoacidosis,2053,C
794,402054,Endocrine system disorders,7,Pancreas endocrine disorders,48,Diabetes mellitus,240,Diabetic ketonuria,2054,C
795,400388,Endocrine system disorders,7,Pancreas endocrine disorders,48,Diabetes mellitus,240,Uncontrolled diabetes,388,C
796,400396,Endocrine system disorders,7,Pancreas endocrine disorders,48,Pancreas endocrine disorder NOS,242,Pancreas endocrine disorder NOS,396,C
797,400397,Endocrine system disorders,7,Parathyroid disorders,49,Hyperparathyroidism,243,Hyperparathyroidism,397,C
798,400398,Endocrine system disorders,7,Parathyroid disorders,49,Hypoparathyroidism,244,Hypoparathyroidism,398,C
799,400399,Endocrine system disorders,7,Parathyroid disorders,49,Parathyroid disorder NOS,245,Parathyroid disorder NOS,399,C
800,400400,Endocrine system disorders,7,Pituitary disorders,50,Acromegaly,246,Acromegaly,400,C
801,400401,Endocrine system disorders,7,Pituitary disorders,50,Diabetes insipidus,247,Diabetes insipidus,401,C
802,400402,Endocrine system disorders,7,Pituitary disorders,50,Pituitary disorder NOS,248,Pituitary disorder NOS,402,C
803,402679,Endocrine system disorders,7,Thyroid gland disorders,51,Goitre,1166,Enlarged thyroid gland,2679,C
804,402680,Endocrine system disorders,7,Thyroid gland disorders,51,Goitre,1166,Goitre,2680,C
805,400403,Endocrine system disorders,7,Thyroid gland disorders,51,Hyperthyroidism,249,Hyperthyroidism,403,C
806,400404,Endocrine system disorders,7,Thyroid gland disorders,51,Hypothyroidism,250,Hypothyroidism,404,C
807,402233,Endocrine system disorders,7,Thyroid gland disorders,51,Hypothyroidism,250,Immune mediated hypothyroidism,2233,C
808,400405,Endocrine system disorders,7,Thyroid gland disorders,51,Thyroid gland disorder NOS,251,Thyroid gland disorder NOS,405,C
809,401839,Endocrine system disorders,7,Thyroid gland disorders,51,Thyroiditis,867,Thyroiditis,1839,C
810,401293,Eye disorders,8,Abnormal vision,52,Abnormal vision,703,Abnormal vision (see also impaired vision),1293,C
813,401231,Eye disorders,8,Abnormal vision,52,Abnormal vision,703,Eyesight trouble,1231,C
815,401479,Eye disorders,8,Abnormal vision,52,Abnormal vision,703,Focusing difficult,1479,C
816,401856,Eye disorders,8,Abnormal vision,52,Abnormal vision,703,Unable to focus,1856,C
818,401871,Eye disorders,8,Abnormal vision,52,Abnormal vision,703,Visual field defect,1871,C
819,400406,Eye disorders,8,Abnormal vision,52,Blindness,252,Blindness,406,C
820,401829,Eye disorders,8,Abnormal vision,52,Blindness,252,Temporary blindness,1829,C
821,401850,Eye disorders,8,Abnormal vision,52,Blindness,252,Transient blindness,1850,C
822,402403,Eye disorders,8,Abnormal vision,52,Impaired vision,253,Bumping into walls,2403,C
823,400407,Eye disorders,8,Abnormal vision,52,Impaired vision,253,Impaired vision,407,C
824,401596,Eye disorders,8,Abnormal vision,52,Impaired vision,253,Loss of vision,1596,C
825,401598,Eye disorders,8,Abnormal vision,52,Impaired vision,253,Low vision,1598,C
826,400409,Eye disorders,8,Abnormal vision,52,Impaired vision,253,Partial blindness,409,C
827,401684,Eye disorders,8,Abnormal vision,52,Impaired vision,253,Partial sight,1684,C
828,401703,Eye disorders,8,Abnormal vision,52,Impaired vision,253,Poor sight,1703,C
829,400408,Eye disorders,8,Abnormal vision,52,Impaired vision,253,Sight affected,408,C
830,400411,Eye disorders,8,Congenital eye disorders,53,Congenital eye disorder,254,Congenital eye disorder,411,C
831,400412,Eye disorders,8,Corneal disorders,54,Corneal disorder NOS,255,Corneal disorder NOS,412,C
832,400414,Eye disorders,8,Corneal disorders,54,Corneal oedema,256,Blue eye,414,C
833,400413,Eye disorders,8,Corneal disorders,54,Corneal oedema,256,Corneal oedema,413,C
834,400415,Eye disorders,8,Corneal disorders,54,Corneal ulcer,257,Corneal ulcer,415,C
835,400416,Eye disorders,8,Corneal disorders,54,Keratitis,258,Keratitis,416,C
836,402828,Eye disorders,8,Eye-chamber (anterior and posterior) disorders,55,Glaucoma,259,Buphthalmia (see also Bulging eye),2828,C
837,400417,Eye disorders,8,Eye-chamber (anterior and posterior) disorders,55,Glaucoma,259,Glaucoma,417,C
838,402234,Eye disorders,8,Eye-chamber (anterior and posterior) disorders,55,Glaucoma,259,Increased intra-ocular pressure,2234,C
839,401099,Eye disorders,8,Eye-chamber (anterior and posterior) disorders,55,Hyphaemia,260,Eye haemorrhage,1099,C
840,400418,Eye disorders,8,Eye-chamber (anterior and posterior) disorders,55,Hyphaemia,260,Hyphaemia,418,C
841,400419,Eye disorders,8,Eye-chamber (anterior and posterior) disorders,55,Hypopyon,261,Hypopyon,419,C
842,400421,Eye disorders,8,Eyelid disorders,56,Blepharitis,262,Blepharitis,421,C
843,400422,Eye disorders,8,Eyelid disorders,56,Blepharitis,262,Eyelid inflammation,422,C
844,400423,Eye disorders,8,Eyelid disorders,56,Blepharospasm,263,Blepharospasm,423,C
845,401101,Eye disorders,8,Eyelid disorders,56,Blepharospasm,263,Blinking,1101,C
846,401233,Eye disorders,8,Eyelid disorders,56,Blepharospasm,263,Closed eyelid,1233,C
847,402235,Eye disorders,8,Eyelid disorders,56,Blepharospasm,263,Squinting,2235,C
848,400424,Eye disorders,8,Eyelid disorders,56,Ectropion,264,Ectropion,424,C
849,400425,Eye disorders,8,Eyelid disorders,56,Entropion,265,Entropion,425,C
850,402461,Eye disorders,8,Eyelid disorders,56,Eyelid mass NOS,1150,Eyelid lump,2461,C
851,402829,Eye disorders,8,Eyelid disorders,56,Eyelid mass NOS,1150,Eyelid mass NOS,2829,C
852,402236,Eye disorders,8,Eyelid disorders,56,Palpebral disorder NOS,266,Drooping eyelid,2236,C
853,402460,Eye disorders,8,Eyelid disorders,56,Palpebral disorder NOS,266,Eyelid erythema,2460,C
854,401461,Eye disorders,8,Eyelid disorders,56,Palpebral disorder NOS,266,Eyelid scaly,1461,C
855,400426,Eye disorders,8,Eyelid disorders,56,Palpebral disorder NOS,266,Palpebral disorder NOS,426,C
856,401100,Eye disorders,8,Eyelid disorders,56,Palpebral oedema (for Allergic oedema see 'Immune system disorders'),1145,Eyelid oedema,1100,C
857,400420,Eye disorders,8,Eyelid disorders,56,Palpebral oedema (for Allergic oedema see 'Immune system disorders'),1145,Palpebral oedema,420,C
858,400427,Eye disorders,8,"Iris, ciliary body and choroid disorders",57,Ciliary body and choroid disorder NOS,267,Ciliary body and choroid disorder NOS,427,C
859,400428,Eye disorders,8,"Iris, ciliary body and choroid disorders",57,Iris disorder,268,Iris disorder,428,C
860,400430,Eye disorders,8,"Iris, ciliary body and choroid disorders",57,Iris disorder,268,Iris prolapse,430,C
861,400429,Eye disorders,8,"Iris, ciliary body and choroid disorders",57,Iris disorder,268,Iris tear,429,C
862,400431,Eye disorders,8,"Iris, ciliary body and choroid disorders",57,Pupil disorder,269,Fixed pupil,431,C
863,400432,Eye disorders,8,"Iris, ciliary body and choroid disorders",57,Pupil disorder,269,Pupil disorder,432,C
864,400433,Eye disorders,8,"Iris, ciliary body and choroid disorders",57,Uveitis,270,Anterior uveitis,433,C
865,400434,Eye disorders,8,"Iris, ciliary body and choroid disorders",57,Uveitis,270,Posterior uveitis,434,C
866,400435,Eye disorders,8,"Iris, ciliary body and choroid disorders",57,Uveitis,270,Uveitis,435,C
867,400436,Eye disorders,8,Lacrimal gland disorders,58,Epiphora,271,Epiphora,436,C
868,400438,Eye disorders,8,Lacrimal gland disorders,58,Epiphora,271,Excess tear flow,438,C
869,400439,Eye disorders,8,Lacrimal gland disorders,58,Epiphora,271,Lacrimation,439,C
870,401572,Eye disorders,8,Lacrimal gland disorders,58,Epiphora,271,Lacrimation increased,1572,C
871,400440,Eye disorders,8,Lacrimal gland disorders,58,Epiphora,271,Tear flow due to blocked or infected tear ducts,440,C
872,400437,Eye disorders,8,Lacrimal gland disorders,58,Epiphora,271,Tear flow increased,437,C
873,400441,Eye disorders,8,Lacrimal gland disorders,58,Lacrimal disorder NOS,272,Lacrimal disorder NOS,441,C
874,400442,Eye disorders,8,Lacrimal gland disorders,58,Lacrimation decreased,273,Lacrimation decreased,442,C
875,401102,Eye disorders,8,Lacrimal gland disorders,58,Lacrimation decreased,273,Low tear flow,1102,C
876,400444,Eye disorders,8,Lens disorders,59,Cataract,274,Cataract,444,C
877,400443,Eye disorders,8,Lens disorders,59,Cataract,274,Lens opacity,443,C
878,400446,Eye disorders,8,Lens disorders,59,Lens disorder NOS,275,Lens disorder NOS,446,C
879,400447,Eye disorders,8,Lens disorders,59,Lens luxation,276,Lens luxation,447,C
880,401103,Eye disorders,8,Membrane nictitans disorders,60,Protrusion membrana nictitans,277,Prolapse of the nictitating membrane,1103,A
881,400448,Eye disorders,8,Membrane nictitans disorders,60,Protrusion membrana nictitans,277,Protrusion membrana nictitans,448,A
882,400449,Eye disorders,8,Membrane nictitans disorders,60,Protrusion membrana nictitans,277,Third eyelid extrusion,449,A
883,401104,Eye disorders,8,Membrane nictitans disorders,60,Protrusion membrana nictitans,277,Third eyelid prolapse,1104,A
884,401105,Eye disorders,8,Membrane nictitans disorders,60,Protrusion membrana nictitans,277,Third eyelid protrusion,1105,A
885,402237,Eye disorders,8,Optic nerve disorders,61,Optic nerve disorder,278,Optic disc oedema,2237,C
886,400450,Eye disorders,8,Optic nerve disorders,61,Optic nerve disorder,278,Optic nerve disorder,450,C
887,400445,Eye disorders,8,Other eye disorders,62,Cloudy eye,996,"Cloudy eye (for Miosis, Mydriasis, Anisocoria, Nystagmus - see Neurological)",445,C
888,402761,Eye disorders,8,Other eye disorders,62,Enophthalmos,1135,Enophthalmos (see also Sunken eyes in Systemic disorders),2761,C
889,402380,Eye disorders,8,Other eye disorders,62,Exophthalmia,279,Bulging eye,2380,C
890,400451,Eye disorders,8,Other eye disorders,62,Exophthalmia,279,Exophthalmia,451,C
891,400456,Eye disorders,8,Other eye disorders,62,Exophthalmia,279,Eyeball protrusion,456,C
892,400452,Eye disorders,8,Other eye disorders,62,Eye disorder NOS,280,Eye disorder NOS (for Photophobia see neurological),452,C
893,402760,Eye disorders,8,Other eye disorders,62,Eye inflammation,284,Aqueous flare,2760,C
894,401455,Eye disorders,8,Other eye disorders,62,Eye inflammation,284,Eye inflamed,1455,C
895,401456,Eye disorders,8,Other eye disorders,62,Eye inflammation,284,Eye inflammation NOS,1456,C
896,400459,Eye disorders,8,Other eye disorders,62,Eye inflammation,284,Generalised inflammation of eye,459,C
897,402015,Eye disorders,8,Other eye disorders,62,Eye inflammation,284,Panophthalmitis,2015,C
901,400453,Eye disorders,8,Other eye disorders,62,Eye irritation,281,Eye irritation,453,C
902,401457,Eye disorders,8,Other eye disorders,62,Eye irritation,281,Eye itching,1457,C
903,401235,Eye disorders,8,Other eye disorders,62,Eye irritation,281,Eye numbness,1235,C
904,401458,Eye disorders,8,Other eye disorders,62,Eye irritation,281,Eye pain,1458,C
907,401459,Eye disorders,8,Other eye disorders,62,Eye irritation,281,Eye sore and red,1459,C
910,401240,Eye disorders,8,Other eye disorders,62,Eye irritation,281,Ocular burn,1240,C
911,401781,Eye disorders,8,Other eye disorders,62,Eye irritation,281,Sore eye,1781,C
913,400454,Eye disorders,8,Other eye disorders,62,Eye paralysis,282,Eye paralysis (for Miosis etc see Neurological),454,C
914,400455,Eye disorders,8,Other eye disorders,62,Eye paralysis,282,Ophthalmoplegia,455,C
915,401625,Eye disorders,8,Other eye disorders,62,Ocular discharge,1147,Mucus in eye,1625,C
916,400468,Eye disorders,8,Other eye disorders,62,Ocular discharge,1147,Ocular discharge,468,C
917,401791,Eye disorders,8,Other eye disorders,62,Ocular discharge,1147,Sticky eye,1791,C
918,400460,Eye disorders,8,Other eye disorders,62,Periorbital oedema (for Facial oedema see 'Immune system disorders'),285,Periorbital oedema,460,C
919,400461,Eye disorders,8,Other eye disorders,62,Periorbital oedema (for Facial oedema see 'Immune system disorders'),285,Swelling around eye,461,C
920,401810,Eye disorders,8,Other eye disorders,62,Periorbital oedema (for Facial oedema see 'Immune system disorders'),285,Swollen eye,1810,C
921,401895,Eye disorders,8,Other eye disorders,62,Strabismus,1148,Strabismus,1895,C
922,401106,Eye disorders,8,Retinal disorders,63,Ocular fundus vasoconstriction,1146,Ocular fundus vasoconstriction,1106,C
923,400462,Eye disorders,8,Retinal disorders,63,Retinal atrophy,286,Retinal atrophy,462,C
924,400463,Eye disorders,8,Retinal disorders,63,Retinal degeneration,287,Retinal degeneration,463,C
